,id,genre,track_name,artist_name,valence,energy,mood_vec,distances
0,3cnRYoW4nYzIuVPCp7k5iG,acoustic,Breakdown,Jack Johnson,0.443,0.394,"[0.443, 0.394]",0.6029610269329188
1,1Er5JMNcguoBMFXxwZ7BWH,acoustic,White Winter Hymnal,Fleet Foxes,0.649,0.534,"[0.649, 0.534]",0.5602017493724917
2,4gIKec1woB9bIWIG8K7SZn,acoustic,I Won't Let You Go,James Morrison,0.161,0.602,"[0.161, 0.602]",0.41057277065095293
3,1s2I9Q7zAE78m7aVZOq3ug,acoustic,Bang Bang - My Baby Shot Me Down,Various Artists,0.372,0.12,"[0.372, 0.12]",0.8649468191744508
4,2QaaXYzEzLio3POCFCI19r,acoustic,Machines,Biffy Clyro,0.31,0.337,"[0.31, 0.337]",0.6460123837822305
5,7noCkklUhEAoj8GJkbAuHq,acoustic,All of Me,Boyce Avenue,0.308,0.209,"[0.308, 0.209]",0.7740232554645888
6,6m0qBDIhzICOwWMPZdgyVK,acoustic,Crazy in Love,Daniela Andrade,0.489,0.326,"[0.489, 0.326]",0.6799073466289359
7,1siB1tZUrkVyC0HiGHzeCn,acoustic,Say Yes,Elliott Smith,0.418,0.0875,"[0.418, 0.0875]",0.9015188572625644
8,0QAHRzFbCz3S4EyFPdNrQq,acoustic,Strawberry Fields Forever (feat. Los Panchos),Karen Souza,0.58,0.478,"[0.58, 0.478]",0.5707722838400617
9,3LHg768dEKqJKht2uPTlVR,acoustic,Ghosts,Laura Marling,0.75,0.368,"[0.75, 0.368]",0.7538706785649645
10,38xWaVFKaxZlMFvzNff2aW,acoustic,Breakeven,The Script,0.535,0.699,"[0.535, 0.699]",0.359856916009683
11,1NdgDGYG4J827IvfeDgF4o,acoustic,Dear Mr. President,Various Artists,0.297,0.299,"[0.297, 0.299]",0.6842112246959998
12,1MUQ6LtYIw6sSGQJEoIi2X,acoustic,Roll Away Your Stone,Mumford & Sons,0.181,0.547,"[0.181, 0.547]",0.45583439975499873
13,5FDh0G5oQ2UD9JxWiDCT1x,acoustic,Paper Doll,John Mayer,0.685,0.475,"[0.685, 0.475]",0.6290508723465854
14,3h7fGy7n9xhS1PupWW9vJ9,acoustic,We Are Young,Kurt Hugo Schneider,0.486,0.814,"[0.486, 0.814]",0.241132743525221
15,2PVU8zHILp6jK4Q7W6rkz8,acoustic,We Can't Stop (feat. Bea Miller),Boyce Avenue,0.36,0.347,"[0.36, 0.347]",0.6376613521297962
16,62nxDx2RXkzCr9nU83nJJ4,acoustic,"Redemption Song - Live At The Stanley Theatre, 9/23/1980",Bob Marley & The Wailers,0.602,0.572,"[0.602, 0.572]",0.5018615346886032
17,3uWrO0I338XeRbFMLxVWln,acoustic,Romantiken (feat. Ane Brun),Tomas Andersson Wij,0.316,0.432,"[0.316, 0.432]",0.5510036297521097
18,2kdwtu4L3Fq7vQMvdVgDZs,acoustic,The Gardener,The Tallest Man On Earth,0.418,0.531,"[0.418, 0.531]",0.4638103060519461
19,3xEP8kzYIjbkUrjfsgn8Hh,acoustic,Common Denominator - iTunes Bonus,Justin Bieber,0.45,0.66,"[0.45, 0.66]",0.3504639781775011
20,5EShFPc0rLTHE2NaXlDume,acoustic,Live High - From the Avocado Salad Sessions,Jason Mraz,0.836,0.314,"[0.836, 0.314]",0.8485546535138441
21,4oa14QBfWRDfJy2agySy0L,acoustic,Gravity,Sara Bareilles,0.231,0.275,"[0.231, 0.275]",0.7128485112560732
22,6ERQqdIkr7Rp4tt52Eep6r,acoustic,The Look Of Love,Diana Krall,0.366,0.266,"[0.366, 0.266]",0.718883161577735
23,4nVBt6MZDDP6tRVdQTgxJg,acoustic,Story of My Life,One Direction,0.286,0.663,"[0.286, 0.663]",0.3212226642066216
24,0FwkLxm84A5P3YNlZzfM0J,acoustic,One Love,Justin Bieber,0.206,0.622,"[0.206, 0.622]",0.37680897016923576
25,10FsLlEMV60mFgzZHpEmQb,acoustic,Old Pine - EP Version,Ben Howard,0.278,0.354,"[0.278, 0.354]",0.6300293643950257
26,6IN5LJsJQNPwzkytnTtrJC,acoustic,The Violet Hour,The Civil Wars,0.166,0.18,"[0.166, 0.18]",0.816524953690945
27,2mKsPUojh602HvSeNt04CB,acoustic,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers,0.587,0.673,"[0.587, 0.673]",0.4130726328383423
28,0v913JHU9h91rxpuDUNJxR,acoustic,Skyscraper (feat. Megan Nicole),Boyce Avenue,0.427,0.337,"[0.427, 0.337]",0.6558086611199946
29,0GNI8K3VATWBABQFAzBAYe,acoustic,Stay,Rihanna,0.125,0.31,"[0.125, 0.31]",0.6990350491928141
30,20p75WXHObYQcvc1ffp7ik,acoustic,Trololo Song,Mr. Trololo,0.636,0.613,"[0.636, 0.613]",0.49049362890867404
31,1JDMO4EVPHtm0xXhJb2IjR,acoustic,Youth,Daughter,0.488,0.477,"[0.488, 0.477]",0.5350813022335952
32,2VYqkb77OjToeRAnMNd4yU,acoustic,Misguided Ghosts,Paramore,0.236,0.266,"[0.236, 0.266]",0.7212301990349543
33,5N4NFz7R3iNUWBYoetcnCz,acoustic,A Thousand Miles (feat. Alex Goot),Boyce Avenue,0.259,0.731,"[0.259, 0.731]",0.2579321616239433
34,2APaWLyP3drx0CIodMhKHd,acoustic,Hey Ya!,The Blanks,0.293,0.262,"[0.293, 0.262]",0.7213057604095506
35,1tlXPa2eOmj64as5cTLDFY,acoustic,Blood Bank,Bon Iver,0.218,0.369,"[0.218, 0.369]",0.6214595722973458
36,4I1BlAeZK4UBSCKoaz8vQS,acoustic,If I Had a Boat,James Vincent McMorrow,0.179,0.295,"[0.179, 0.295]",0.7011198185759692
37,4Y1ZvAbetcpZsmedL9uhmR,acoustic,"Next To Me - Live From Spotify NYC, USA/2012",Emeli Sandé,0.294,0.397,"[0.294, 0.397]",0.5863411975974399
38,0Qw7qGuXlVBZLcfoQ17yZn,acoustic,Old Pine,Ben Howard,0.226,0.358,"[0.226, 0.358]",0.6311647962299545
39,5hN8B7iH9FsMgZFkyJtVcC,acoustic,Rylynn,Don Ross,0.408,0.394,"[0.408, 0.394]",0.5964536863831089
40,4yzgjSHWy5E8fKflgwaKQh,acoustic,Come As You Are,Nirvana,0.581,0.79,"[0.581, 0.79]",0.3294510585807852
41,1uXHWnZ85lhAf19DRzU3Oz,acoustic,Walking Aimlessly,Anna Ternheim,0.344,0.302,"[0.344, 0.302]",0.6816604726694956
42,1SZ63wN0pk18Dr4Epyhcsf,acoustic,Tainted Love,Hannah Peel,0.437,0.192,"[0.437, 0.192]",0.8005060899206201
43,4OfjX48ZacUS6Noi2KIXbS,acoustic,Rolling In The Deep (Acapella),Adele,0.476,0.142,"[0.476, 0.142]",0.8564607404896035
44,6xB3h7R5zGRo0obZk0XTjY,acoustic,Working Together,Los Colognes,0.865,0.869,"[0.865, 0.869]",0.5626695300085122
45,1xoPZOO4yLXpAQwdzqhzCM,acoustic,Time After Time - Soundtrack,Smallville: The Talon Mix,0.203,0.186,"[0.203, 0.186]",0.804692487848619
46,5NTA3dsB2DlLaSG1KM6RTh,acoustic,The River,Bruce Springsteen,0.594,0.554,"[0.594, 0.554]",0.5122899569579712
47,7jPumBvn7m7l3nolkML3cZ,acoustic,Love The Way You Lie - Part III (Original Demo),Skylar Grey,0.232,0.248,"[0.232, 0.248]",0.739560004326897
48,0knqVSsgD7C8yu5yNmQFbA,acoustic,Cannonball,Damien Rice,0.439,0.284,"[0.439, 0.284]",0.7100887268503846
49,70zapGEw5KQiHBhjNcGjzo,acoustic,Little Hell,City and Colour,0.186,0.415,"[0.186, 0.415]",0.5822439351337204
50,0bjb3fPJgElgBNEwQvGKxQ,afrobeat,Say You Love,P-Square,0.49,0.586,"[0.49, 0.586]",0.434263744745057
51,5OB74KXeThUgS3VCuZTrlu,afrobeat,Diaraby Nene,Various Artists,0.837,0.448,"[0.837, 0.448]",0.7481670936361742
52,0uZbMcQP8LWeFKXf1h3KQT,afrobeat,Wily Kataso - feat. Tunde & Kyp of TV On The Radio,Amadou & Mariam,0.882,0.77,"[0.882, 0.77]",0.6066242659175448
53,5YjLDu0oNJV4rxrI2E7vo7,afrobeat,Fimani,Habib Koité,0.849,0.469,"[0.849, 0.469]",0.7419036325561426
54,3Tqz2LQTgqGMaXN3n1Uom7,afrobeat,Imidiwan Ma Tenam (feat. Nels Cline),Tinariwen,0.821,0.767,"[0.821, 0.767]",0.5510943657850259
55,7MR2EsOZadH0QaagQiHCbk,afrobeat,Hold You [Hold Yuh],Reggae Gold,0.494,0.632,"[0.494, 0.632]",0.39446292601460026
56,5KgU4lp0870zryRc3BEeDN,afrobeat,Roforofo Fight,Fela Kuti,0.751,0.9,"[0.751, 0.9]",0.4448123199732669
57,0iF9eGx9US66wEA1LpKuPl,afrobeat,Sigi Kuruni,Oumou Sangaré,0.967,0.52,"[0.967, 0.52]",0.8004861023153369
58,1mwt9hzaH7idmC5UCoOUkz,afrobeat,Diamonds,Rihanna,0.369,0.674,"[0.369, 0.674]",0.31385665517876143
